case_id	mode	llm	heur	picked	zhoda	dead	req	usd	cache
arch-monolith	zhoda	0	0	Microservices	0	0	40	0.0069	17
arch-monolith	majority	1	1	Monolith	1	0	10	0.0032	0
arch-monolith	council	1	1	Monolith	0	0	40	0.0046	0
arch-strangler	zhoda	1	1	Wrap behind an API	0	0	45	0.0086	6
arch-strangler	majority	1	1	Wrap behind an API	1	0	10	0.0032	0
arch-strangler	council	1	1	Wrap behind an API	0	0	45	0.0043	0
arch-redis-session	zhoda	1	1	Redis	0	0	45	0.0075	3
arch-redis-session	majority	1	1	Redis	1	0	10	0.0026	0
arch-redis-session	council	1	1	Redis	0	0	45	0.0039	0
arch-grpc-internal	zhoda	1	1	gRPC	0	0	52	0.0091	6
arch-grpc-internal	majority	1	1	gRPC	1	0	10	0.0037	0
arch-grpc-internal	council	1	1	gRPC	0	0	52	0.0060	0
arch-k8s-mvp	zhoda	1	1	Single VM	0	0	33	0.0056	16
arch-k8s-mvp	majority	1	1	Single VM	1	0	10	0.0031	0
arch-k8s-mvp	council	1	1	Single VM	0	0	33	0.0034	0
arch-graphql-public	zhoda	1	1	REST	0	0	51	0.0093	6
arch-graphql-public	majority	1	1	REST	1	1	12	0.0037	0
arch-graphql-public	council	1	1	REST	0	0	51	0.0057	0
