case_id	mode	llm	heur	picked	zhoda	dead	req	usd	cache
arch-pg-fts	zhoda	0	0		0	0	43	0.0082	6
arch-pg-fts	majority	1	1	PostgreSQL full-text	1	1	12	0.0037	0
arch-pg-fts	council	0	0	Elasticsearch	0	0	43	0.0051	0
arch-sse-dashboard	zhoda	0	1		0	0	45	0.0084	6
arch-sse-dashboard	majority	1	1	Server-Sent Events	1	0	10	0.0034	0
arch-sse-dashboard	council	1	1	Server-Sent Events	0	0	45	0.0048	0
arch-cookie-jwt	zhoda	0	1		0	0	64	0.0131	1
arch-cookie-jwt	majority	1	1	httpOnly cookie	1	0	10	0.0034	0
arch-cookie-jwt	council	1	1	httpOnly cookie	0	0	64	0.0061	0
arch-schema-tenant	zhoda	0	1		0	0	33	0.0057	16
arch-schema-tenant	majority	1	1	Shared schema	1	0	10	0.0032	0
arch-schema-tenant	council	0	0	Database-per-tenant	0	0	33	0.0033	0
sec-argon2	zhoda	1	1	Argon2id	1	1	59	0.0140	4
sec-argon2	majority	1	1	Argon2id	1	0	10	0.0032	0
sec-argon2	council	1	1	Argon2id	0	0	59	0.0067	0
sec-api-keys	zhoda	0	1		0	0	43	0.0076	6
sec-api-keys	majority	1	1	No	1	0	10	0.0029	0
sec-api-keys	council	1	1	No	0	0	43	0.0036	0
sec-tls-internal	zhoda	0	1	No	0	0	64	0.0130	0
sec-tls-internal	majority	1	0	No	1	0	10	0.0030	0
sec-tls-internal	council	1	1	No	0	0	64	0.0072	0
sec-eval-prod	zhoda	0	1	No	0	0	54	0.0102	1
sec-eval-prod	majority	1	1	No	1	0	10	0.0027	0
sec-eval-prod	council	1	1	No	0	0	54	0.0060	0
sec-sqli	zhoda	1	1	No	1	1	48	0.0099	4
sec-sqli	majority	1	1	No	1	0	10	0.0028	0
sec-sqli	council	1	1	No	0	0	48	0.0043	0
sec-git-secrets	zhoda	0	0	Rewrite history only	0	0	37	0.0064	19
sec-git-secrets	majority	1	1	Rotate and revoke	1	0	10	0.0032	0
sec-git-secrets	council	1	1	Rotate and revoke	0	0	37	0.0039	0
sec-cors	zhoda	0	1	No	0	0	33	0.0062	16
sec-cors	majority	1	1	No	1	0	10	0.0027	0
sec-cors	council	1	1	No	0	0	33	0.0034	0
sec-admin-2fa	zhoda	0	1		0	0	51	0.0085	6
sec-admin-2fa	majority	0	1	Skip 2FA	1	0	10	0.0036	0
sec-admin-2fa	council	1	0	Require 2FA	0	0	51	0.0059	0
ops-ci-keep	zhoda	0	1	No	0	0	43	0.0074	6
ops-ci-keep	majority	1	1	No	1	0	10	0.0033	0
ops-ci-keep	council	1	1	No	0	0	43	0.0045	0
ops-reviews	zhoda	0	0	Keep reviews	0	0	33	0.0050	16
ops-reviews	majority	1	0	Keep reviews	1	0	10	0.0032	0
ops-reviews	council	1	1	Keep reviews	0	0	33	0.0027	0
ops-oncall	zhoda	0	0	Rotate	0	0	45	0.0067	6
ops-oncall	majority	1	1	Rotate	1	0	10	0.0032	0
ops-oncall	council	1	0	Rotate	0	0	45	0.0041	0
ops-backups	zhoda	0	1		0	0	51	0.0090	2
ops-backups	majority	1	1	No	1	0	10	0.0028	0
ops-backups	council	1	1	No	0	0	51	0.0042	0
