case_id	mode	correct	zhoda	dead_ends	req	usd	cache	rounds
arch-pg-kafka	zhoda	1	1	1	39	0.0077	3	3
arch-pg-kafka	majority	1	1	1	2	0.0013	10	0
arch-pg-kafka	council	0	0	0	39	0.0062	0	1
arch-monolith	zhoda	1	0	0	47	0.0070	10	4
arch-monolith	majority	1	1	0	3	0.0013	7	0
arch-monolith	council	1	0	0	47	0.0054	0	1
arch-strangler	zhoda	1	0	0	46	0.0085	5	4
arch-strangler	majority	1	1	0	3	0.0014	7	0
arch-strangler	council	1	0	0	46	0.0043	0	1
arch-redis-session	zhoda	1	0	0	56	0.0091	3	4
arch-redis-session	majority	1	1	0	3	0.0009	7	0
arch-redis-session	council	1	0	0	56	0.0049	0	1
arch-grpc-internal	zhoda	1	0	0	25	0.0046	23	4
arch-grpc-internal	majority	1	1	1	2	0.0014	10	0
arch-grpc-internal	council	1	0	0	25	0.0028	0	1
arch-k8s-mvp	zhoda	1	0	0	58	0.0099	4	4
arch-k8s-mvp	majority	1	1	0	3	0.0011	7	0
arch-k8s-mvp	council	1	0	0	58	0.0060	0	1
arch-graphql-public	zhoda	1	0	0	33	0.0067	16	4
arch-graphql-public	majority	1	1	0	3	0.0016	7	0
arch-graphql-public	council	1	0	0	33	0.0038	0	1
arch-crud-todo	zhoda	1	0	0	47	0.0074	4	4
arch-crud-todo	majority	1	1	0	3	0.0012	7	0
arch-crud-todo	council	1	0	0	47	0.0044	0	1
arch-pg-orders	zhoda	1	0	0	45	0.0088	6	4
arch-pg-orders	majority	1	1	0	3	0.0013	7	0
arch-pg-orders	council	1	0	0	45	0.0038	0	1
arch-sqlite-internal	zhoda	1	0	0	53	0.0078	3	4
arch-sqlite-internal	majority	1	1	1	2	0.0013	10	0
arch-sqlite-internal	council	1	0	0	53	0.0051	0	1
arch-tf-two-env	zhoda	1	0	0	33	0.0058	16	4
arch-tf-two-env	majority	1	1	0	3	0.0014	7	0
arch-tf-two-env	council	1	0	0	33	0.0032	0	1
arch-django-cms	zhoda	1	0	0	49	0.0099	4	4
arch-django-cms	majority	1	1	0	3	0.0014	7	0
arch-django-cms	council	1	0	0	49	0.0062	0	1
arch-rabbit-jobs	zhoda	1	0	0	48	0.0093	3	4
arch-rabbit-jobs	majority	1	1	0	3	0.0013	7	0
arch-rabbit-jobs	council	1	0	0	48	0.0059	0	1
arch-serverless-webhook	zhoda	1	0	0	43	0.0073	6	4
arch-serverless-webhook	majority	1	1	0	3	0.0012	7	0
arch-serverless-webhook	council	1	0	0	43	0.0042	0	1
arch-shared-db	zhoda	1	0	0	47	0.0082	6	4
arch-shared-db	majority	1	1	0	3	0.0012	7	0
arch-shared-db	council	1	0	0	47	0.0058	0	1
arch-python-etl	zhoda	1	0	0	33	0.0062	16	4
arch-python-etl	majority	1	1	0	3	0.0012	7	0
arch-python-etl	council	1	0	0	33	0.0035	0	1
